id_estado,nombre_estado,id_distrito_local,cabecera_distrital_local,id_municipio,municipio,seccion,morena,total_votos,lista_nominal,morena_pct,particip_pct
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2977,135.0,568,1351,23.77,42.04
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2978,127.0,503,1140,25.25,44.12
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2979,338.0,1966,3522,17.19,55.82
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2980,257.0,1235,2246,20.81,54.99
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2981,268.0,1575,2711,17.02,58.1
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2982,205.0,1025,1818,20.0,56.38
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2983,429.0,1681,3343,25.52,50.28
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2984,342.0,1418,2951,24.12,48.05
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2985,436.0,1626,4561,26.81,35.65
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2986,370.0,1625,3124,22.77,52.02
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2987,389.0,1557,3237,24.98,48.1
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2988,253.0,1051,2117,24.07,49.65
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2989,661.0,2480,4772,26.65,51.97
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2990,234.0,902,1790,25.94,50.39
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2991,256.0,755,2158,33.91,34.99
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2992,239.0,761,2162,31.41,35.2
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2993,826.0,2205,8122,37.46,27.15
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2994,284.0,1072,2547,26.49,42.09
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2995,286.0,1007,2295,28.4,43.88
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2996,306.0,918,2413,33.33,38.04
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2997,240.0,673,1453,35.66,46.32
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2998,300.0,825,2147,36.36,38.43
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2999,296.0,918,2553,32.24,35.96
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3000,376.0,1038,3588,36.22,28.93
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3001,598.0,1963,6610,30.46,29.7
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3002,423.0,1526,4239,27.72,36.0
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3003,307.0,1128,3432,27.22,32.87
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3004,388.0,1559,4494,24.89,34.69
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3005,568.0,2220,5172,25.59,42.92
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3006,974.0,3797,10805,25.65,35.14
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3007,758.0,2602,9038,29.13,28.79
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3008,368.0,1296,4302,28.4,30.13
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3009,419.0,1234,4290,33.95,28.76
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3010,349.0,1193,3864,29.25,30.87
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3011,320.0,1125,3561,28.44,31.59
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3012,395.0,1257,4843,31.42,25.95
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3013,885.0,2593,8765,34.13,29.58
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3014,511.0,1731,6510,29.52,26.59
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3015,733.0,2280,7939,32.15,28.72
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3016,409.0,1424,4470,28.72,31.86
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3017,511.0,1464,5462,34.9,26.8
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3073,137.0,848,2413,16.16,35.14
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3075,123.0,1192,1961,10.32,60.79
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3076,96.0,1666,2322,5.76,71.75
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3471,71.0,641,940,11.08,68.19
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3475,166.0,688,1457,24.13,47.22
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3476,136.0,686,1271,19.83,53.97
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3477,109.0,761,1304,14.32,58.36
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3479,98.0,394,869,24.87,45.34
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3481,78.0,761,1086,10.25,70.07
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3484,64.0,440,687,14.55,64.05
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3486,57.0,601,855,9.48,70.29
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3488,111.0,719,1359,15.44,52.91
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3490,66.0,443,676,14.9,65.53
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3491,60.0,505,749,11.88,67.42
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3492,75.0,797,1171,9.41,68.06
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3493,117.0,715,1053,16.36,67.9
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3494,61.0,407,773,14.99,52.65
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3495,112.0,428,927,26.17,46.17
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,2900,213.0,765,1406,27.84,54.41
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,2901,124.0,457,1093,27.13,41.81
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,2902,324.0,1281,3761,25.29,34.06
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,2903,145.0,655,1763,22.14,37.15
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,2904,132.0,493,1351,26.77,36.49
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,2905,167.0,703,1636,23.76,42.97
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,2906,193.0,829,1895,23.28,43.75
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,2907,143.0,647,1579,22.1,40.98
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,2908,173.0,660,1676,26.21,39.38
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,2966,326.0,1389,3443,23.47,40.34
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,2967,168.0,680,1603,24.71,42.42
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,2968,222.0,1396,2503,15.9,55.77
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,2969,1093.0,6822,13450,16.02,50.72
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,2970,227.0,1080,2098,21.02,51.48
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,2971,172.0,664,1279,25.9,51.92
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,2972,240.0,1096,2384,21.9,45.97
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,3018,737.0,2601,9463,28.34,27.49
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,3019,935.0,3714,11138,25.18,33.35
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,3020,1021.0,4701,10779,21.72,43.61
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,3021,239.0,1199,2801,19.93,42.81
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,3022,354.0,1496,4237,23.66,35.31
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,3023,831.0,2986,12014,27.83,24.85
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,3025,16.0,182,436,8.79,41.74
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,3026,1309.0,3893,16804,33.62,23.17
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,3027,93.0,472,1305,19.7,36.17
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,3028,249.0,1441,4390,17.28,32.82
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,3029,303.0,2461,4514,12.31,54.52
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,3031,246.0,910,2450,27.03,37.14
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,3033,846.0,5450,12467,15.52,43.72
14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,3034,197.0,700,1437,28.14,48.71
